key,displayName,aliases,description,fieldKind,dataType,primaryTopic,cursorPriority,confidence,ambiguity,usageCount,distinctDescriptions,sourceDatabases,notes
market_rent,Market Rent,"['MARKET RENT', 'Market Rent']",The Market Rent column displays the market rent amount of the units displayed in the report.,metric,currency,financial,core,medium,high,411,54,['reports'],
deposit_held,Deposit Held,"['DEPOSIT HELD', 'Deposit Held']","The Deposit Held column will display the amount of deposit that the household has paid in, NOT the amount that was required.",metric,currency,financial,core,medium,high,352,33,['reports'],
lease_term,Lease Term,"['LEASE TERM', 'Lease Term']",The Lease Term column displays the lease term assigned to each listed lease. This is an optional column that can be accessed via the Display Options tab.,metric,integer,quantity,core,medium,high,339,42,['reports'],
budgeted_rent,Budgeted Rent,"['BUDGETED RENT', 'Budgeted Rent', 'Budgeted_Rent']",Displays the amount at which the unit is budgeted as of the end of the period selected as found under Setup >> Properties >> [Select Property] >> Pricing >> Rent >> Budgeted Rent. Clients who use this column should also have Budgeted Rent selected for the Determine Market Rent setting found under Setup >> Properties >> [Select Property] >> Financial >> Gross Potential Rent.,metric,currency,financial,core,medium,high,323,42,['reports'],
scheduled_charges,Scheduled Charges,"['Scheduled (Charges)', 'Scheduled Charges']",The Scheduled Charges column will display all recurring charges that have been created for each listed household (based on what was selected in the 'charge codes' filter). The report should fetch these values based on the move-in/initial lease as to indicate the scheduled charges pertaining to the move-in event.,metric,currency,financial,core,medium,high,279,37,['reports'],
lease_approved,Lease Approved,"['LEASE APPROVED', 'Lease (Approved)', 'Lease - Approved', 'Lease Approved']",Counts the number of primary leads that have reached a status of Lease Approved. For more information click here .,metric,integer,quantity,core,medium,high,267,35,['reports'],
new_leads,New Leads,"['NEW LEADS', 'New Leads', 'New Leads=', 'New_Leads']","A New Lead has completed a guest card in the period selected. Those that have been cancelled or archived are still counted. Guest Cards can be entered manually, through an ILS, phone call, and various other sources. Additional applicants are not added to a profile until the application stage and therefore you will only see one guest card per application in reports. If applicants happen to submit separate or multiple guest cards, the duplicates can be removed from reporting by canceling or archiving the duplicate and labeling it as merged when selecting a reason.",metric,integer,quantity,core,medium,high,258,28,['reports'],
scheduled_rent,Scheduled Rent,"['SCHEDULED RENT', 'Scheduled Rent']",The Scheduled Rent column displays the rent amount that is scheduled for the report.,metric,currency,financial,core,medium,high,251,37,['reports'],
application_completed,Application Completed,"['APPLICATION COMPLETED', 'Application - Completed', 'Application Completed']","Displays the initial date of reaching Application Partially Completed or Application Completed status, whichever happened first.",metric,integer,quantity,core,medium,high,229,20,['reports'],
application_approved,Application Approved,"['Application - Approved', 'Application Approved']",Displays the initial date of reaching Application Approved.,metric,integer,quantity,core,medium,high,219,21,['reports'],
lease_completed,Lease Completed,"['Lease (Completed)', 'Lease - Completed', 'Lease Completed']",Displays the initial date of reaching Lease Completed.,metric,integer,quantity,core,medium,high,217,22,['reports'],
